69261,현대 그랜저
70422,현대 싼타페
71091,현대 투싼
70587,현대 쏘나타
69314,현대 팰리세이드
62308,현대 포터2
71439,현대 코나
71010,현대 쏠라티
73476,현대 포레스트
74061,현대 스타리아
71481,기아 K5
71281,기아 K7
73086,기아 K8
69052,기아 K9
69063,기아 모하비
71136,기아 스포티지
71680,기아 쏘렌토
70807,기아 카니발
73573,기아 셀토스
70957,기아 스팅어
68993,기아 니로
71527,제네시스 G70
69506,제네시스 G80
73461,제네시스 G90
71838,제네시스 GV70
70463,제네시스 GV80
70077,벤츠 A-Class
69581,벤츠 C-Class
71112,벤츠 The New E-Class
73044,벤츠 S-Class
69588,벤츠 CLS-Class
61520,벤츠 GLB-Class
69568,벤츠 GLC-Class
69591,벤츠 The New GLE-Class
71343,BMW 1 Series
71349,BMW 2 Series
71312,BMW New 3 Series
71372,BMW 4 Series
71122,BMW New 5 Series
72637,BMW 7 Series
71400,BMW X2
71465,BMW X5
69894,아우디 A4
69898,아우디 A5
69882,아우디 A6
69873,아우디 A7
70904,아우디 A8
69890,아우디 Q7
69887,아우디 Q8
